================================================================================
OP CHOUDHARY TWEETS - DATABASE EXPORT
================================================================================

Generated: Sun Nov 9 01:49:12 IST 2025

 tweet_num |           id            |           date            |          author          |         event         |    confidence    |                                                                                                                                         text                                                                                                                                          | separator 
-----------+-------------------------+---------------------------+--------------------------+-----------------------+------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------
 Tweet #1  | ID: 1985938919578616076 | Date: 2025-11-05 05:15:10 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: सिख पंथ के संस्थापक, प्रथम गुरु एवं मानवता के प्रकाशपुंज श्री गुरु नानक देव जी के पावन प्रकाश पर्व पर उन्हें कोटि-कोटि नमन।                                                                                                                                                                          +| ---
           |                         |                           |                          |                       |                  | ‘एक ओंकार सतनाम’ के संदेश से संपूर्ण मानवता को सत्य, सेवा, करुणा और समानता का मार्ग दिखाने वाले श्री गुरु नानक देव जी का जीवन समूची मानवता के लिए आदर्श एवं https://t.co/rkmFrocGyQ                                                                                                                         | 
 Tweet #2  | ID: 1985933171205214303 | Date: 2025-11-05 04:52:19 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: सनातन आस्था के महापर्व 'कार्तिक पूर्णिमा' एवं ‘देव दीपावली’ की समस्त प्रदेशवासियों और श्रद्धालुओं को हार्दिक शुभकामनायें।                                                                                                                                                                          +| ---
           |                         |                           |                          |                       |                  | यह पावन पर्व आप सभी के जीवन में सुख, समृद्धि, आरोग्य और आनंद का प्रकाश फैलाए, यही प्रार्थना है।                                                                                                                                                                                                    +| 
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | #कार्तिक_पूर्णिमा                                                                                                                                                                                                                                                                       +| 
           |                         |                           |                          |                       |                  | #KartikaPurnima                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | #देव_दीपावली                                                                                                                                                                                                                                                                          +| 
           |                         |                           |                          |                       |                  | #DevDeepawali https://t.co/FFd0oUNmdJ                                                                                                                                                                                                                                                 | 
 Tweet #3  | ID: 1985917270250701212 | Date: 2025-11-05 03:49:08 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: कैबिनेट के साथी एवं नारायणपुर के लोकप्रिय विधायक माननीय श्री केदार कश्यप जी को जन्मदिन की हार्दिक बधाई एवं शुभकामनायें।                                                                                                                                                                        +| ---
